"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/Arrivals/Total arrivals flights (number)";"Commercial air traffic/Flights/Arrivals/Scheduled (number)";"Commercial air traffic/Flights/Arrivals/Non-scheduled (number)";"Commercial air traffic/Flights/Departures/Total departures flights (number)";"Commercial air traffic/Flights/Departures/Scheduled (number)";"Commercial air traffic/Flights/Departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Total arrivals passengers (number)";"Commercial air traffic/Passengers/Passenger arrivals/Scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Total departures passengers (number)";"Commercial air traffic/Passengers/Passenger departures/Scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Country of origin/destination/Total country of origin/destination (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Europe total (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/EU countries (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Other Europe (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Total intercontinental passengers (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/North Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/West Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Central Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/East Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/South Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/North America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/Central America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/South America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/West Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/South-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/North-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Oceania (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Other/unknown (number)";"Commercial air traffic/Passengers/Country of origin/destination/Unknown (number)"
"Rotterdam The Hague Airport";"2012 February";"    2083";"    1328";"     577";"     485";"      92";"     582";"     485";"      97";"   37891";"   35328";"    2563";"   40241";"   37922";"    2319";"   78132";"   77992";"   75711";"    2281";"     140";"     140";"     140";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2012 March";"    2518";"    1996";"     619";"     517";"     102";"     626";"     523";"     103";"   47043";"   45332";"    1711";"   44375";"   42670";"    1705";"   91418";"   91418";"   88258";"    3160";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2012 April";"    2139";"    1780";"     555";"     424";"     131";"     561";"     425";"     136";"   38950";"   35252";"    3698";"   42683";"   36801";"    5882";"   81633";"   81633";"   77984";"    3649";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2012 May";"    2770";"    2188";"     741";"     531";"     210";"     744";"     539";"     205";"   59897";"   47317";"   12580";"   62020";"   48558";"   13462";"  121917";"  121917";"  110040";"   11877";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2012 June";"    2552";"    1894";"     720";"     514";"     206";"     724";"     519";"     205";"   59390";"   46964";"   12426";"   58879";"   46749";"   12130";"  118269";"  117134";"  105276";"   11858";"    1135";"    1135";"    1135";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2012 July";"    2714";"    1786";"     735";"     502";"     233";"     730";"     503";"     227";"   61128";"   47444";"   13684";"   69818";"   53679";"   16139";"  130946";"  129979";"  115874";"   14105";"     967";"     967";"     967";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2012 August";"    2617";"    1912";"     736";"     521";"     215";"     699";"     481";"     218";"   70158";"   53630";"   16528";"   60808";"   47346";"   13462";"  130966";"  130365";"  117322";"   13043";"     601";"     601";"     601";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2012 September";"    2572";"    2110";"     701";"     505";"     196";"     696";"     505";"     191";"   62143";"   49477";"   12666";"   61512";"   48811";"   12701";"  123655";"  123171";"  111367";"   11804";"     484";"     484";"     484";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2012 October";"    2416";"    1854";"     725";"     563";"     162";"     733";"     568";"     165";"   62116";"   51383";"   10733";"   55724";"   47211";"    8513";"  117840";"  117833";"  105710";"   12123";"       7";"       7";"       7";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2012 November";"    1622";"    1410";"     460";"     384";"      76";"     463";"     382";"      81";"   28368";"   26825";"    1543";"   25753";"   24074";"    1679";"   54121";"   54121";"   53097";"    1024";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2012 December";"    1545";"    1050";"     483";"     414";"      69";"     482";"     415";"      67";"   28657";"   27219";"    1438";"   33919";"   32559";"    1360";"   62576";"   62576";"   61283";"    1293";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 January";"    1898";"    1124";"     660";"     584";"      76";"     665";"     584";"      81";"   43113";"   41998";"    1115";"   41121";"   39853";"    1268";"   84234";"   84234";"   81527";"    2707";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 February";"    2054";"    1394";"     638";"     554";"      84";"     635";"     559";"      76";"   43511";"   41515";"    1996";"   46927";"   45027";"    1900";"   90438";"   90438";"   87606";"    2832";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 March";"    2412";"    1888";"     728";"     647";"      81";"     737";"     644";"      93";"   56437";"   54840";"    1597";"   54049";"   52465";"    1584";"  110486";"  110486";"  107102";"    3384";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 April";"    2679";"    2146";"     750";"     614";"     136";"     752";"     613";"     139";"   52501";"   48376";"    4125";"   58361";"   52375";"    5986";"  110862";"  110862";"  103825";"    7037";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 May";"    2812";"    1886";"     919";"     727";"     192";"     936";"     732";"     204";"   79382";"   68448";"   10934";"   81022";"   69754";"   11268";"  160404";"  160404";"  145199";"   15205";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 June";"    2846";"    1898";"     894";"     710";"     184";"     902";"     713";"     189";"   77440";"   66612";"   10828";"   78006";"   67844";"   10162";"  155446";"  154921";"  140221";"   14700";"     525";"     525";"     525";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 July";"    2948";"    2360";"     910";"     711";"     199";"     907";"     711";"     196";"   72390";"   63413";"    8977";"   82427";"   70355";"   12072";"  154817";"  152036";"  136877";"   15159";"    2781";"    2781";"    2781";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 August";"    2724";"    2078";"     831";"     630";"     201";"     852";"     630";"     222";"   81355";"   67286";"   14069";"   73915";"   60784";"   13131";"  155270";"  150615";"  131913";"   18702";"    4655";"    4655";"    4655";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 September";"    2776";"    1676";"     923";"     721";"     202";"     931";"     720";"     211";"   82165";"   70564";"   11601";"   78990";"   67532";"   11458";"  161155";"  159247";"  143687";"   15560";"    1908";"    1908";"    1908";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 October";"    2566";"    1690";"     835";"     669";"     166";"     844";"     670";"     174";"   72111";"   62423";"    9688";"   64819";"   57527";"    7292";"  136930";"  135335";"  123325";"   12010";"    1595";"    1595";"    1595";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 November";"    1977";"    1644";"     625";"     530";"      95";"     630";"     530";"     100";"   42700";"   40953";"    1747";"   39245";"   37520";"    1725";"   81945";"   79326";"   75991";"    3335";"    2619";"    2617";"    2430";"     187";"       0";"       0";"       0";"       2";"       0";"       2";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2013 December";"    1805";"    1386";"     577";"     508";"      69";"     578";"     509";"      69";"   40472";"   39140";"    1332";"   46113";"   44806";"    1307";"   86585";"   84825";"   80779";"    4046";"    1760";"    1760";"    1532";"     228";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 January";"    1991";"    1274";"     668";"     599";"      69";"     677";"     600";"      77";"   48725";"   47629";"    1096";"   45552";"   44255";"    1297";"   94277";"   92784";"   87089";"    5695";"    1493";"    1422";"    1422";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"      71";"      71";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 February";"    2064";"    1474";"     675";"     587";"      88";"     683";"     591";"      92";"   51772";"   49651";"    2121";"   54756";"   52798";"    1958";"  106528";"  104768";"   97748";"    7020";"    1760";"    1760";"    1760";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 March";"    2611";"    2227";"     796";"     720";"      76";"     818";"     719";"      99";"   69576";"   67927";"    1649";"   65654";"   64030";"    1624";"  135230";"  132109";"  119066";"   13043";"    3121";"    3121";"    3121";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 April";"    2491";"    2138";"     775";"     673";"     102";"     781";"     674";"     107";"   63337";"   60919";"    2418";"   72064";"   68013";"    4051";"  135401";"  131975";"  122327";"    9648";"    3426";"    3426";"    3426";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 May";"    2874";"    1973";"     899";"     753";"     146";"     903";"     753";"     150";"   85735";"   77112";"    8623";"   86125";"   76550";"    9575";"  171860";"  169682";"  153899";"   15783";"    2178";"    2178";"    2178";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 June";"    2931";"    2031";"     907";"     742";"     165";"     915";"     743";"     172";"   86198";"   77191";"    9007";"   83662";"   75710";"    7952";"  169860";"  169640";"  155334";"   14306";"     220";"     220";"     220";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 July";"    2603";"    1702";"     862";"     692";"     170";"     863";"     694";"     169";"   67043";"   59621";"    7422";"   80219";"   70337";"    9882";"  147262";"  144796";"  129975";"   14821";"    2466";"    2130";"    2093";"      37";"       0";"       0";"       0";"      96";"       0";"       0";"      96";"     240";"     240";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 August";"    2353";"    1704";"     778";"     618";"     160";"     803";"     624";"     179";"   80810";"   68084";"   12726";"   72301";"   60781";"   11520";"  153111";"  149026";"  128995";"   20031";"    4085";"    2824";"    2824";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"    1261";"    1261";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 September";"    2892";"    1954";"     949";"     756";"     193";"     942";"     758";"     184";"   88864";"   78547";"   10317";"   86585";"   76624";"    9961";"  175449";"  173494";"  156038";"   17456";"    1955";"    1955";"    1955";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 October";"    2432";"    1518";"     843";"     714";"     129";"     858";"     714";"     144";"   83232";"   75422";"    7810";"   74906";"   69310";"    5596";"  158138";"  156860";"  141031";"   15829";"    1278";"    1278";"    1278";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 November";"    1862";"    1576";"     584";"     500";"      84";"     589";"     503";"      86";"   43055";"   41468";"    1587";"   39549";"   37911";"    1638";"   82604";"   82604";"   75948";"    6656";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2014 December";"    1722";"    1126";"     618";"     537";"      81";"     604";"     541";"      63";"   44167";"   42732";"    1435";"   50990";"   49472";"    1518";"   95157";"   94708";"   86083";"    8625";"     449";"     449";"     449";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 January";"    1602";"    1060";"     570";"     515";"      55";"     574";"     516";"      58";"   43775";"   42661";"    1114";"   40960";"   39792";"    1168";"   84735";"   84582";"   76352";"    8230";"     153";"     153";"     153";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 February";"    1864";"    1512";"     632";"     570";"      62";"     631";"     563";"      68";"   49394";"   46577";"    2817";"   53030";"   50442";"    2588";"  102424";"  101790";"   94371";"    7419";"     634";"     634";"     634";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 March";"    2348";"    1626";"     766";"     683";"      83";"     764";"     673";"      91";"   65385";"   63024";"    2361";"   61352";"   58950";"    2402";"  126737";"  125849";"  116430";"    9419";"     888";"     888";"     888";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 April";"    2596";"    2284";"     816";"     691";"     125";"     813";"     697";"     116";"   62045";"   58461";"    3584";"   72236";"   67018";"    5218";"  134281";"  131289";"  121690";"    9599";"    2992";"    2992";"    2992";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 May";"    2952";"    1966";"     975";"     822";"     153";"     983";"     824";"     159";"   95368";"   85798";"    9570";"   95273";"   84955";"   10318";"  190641";"  187591";"  169241";"   18350";"    3050";"    3050";"    3050";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 June";"    3141";"    2212";"     996";"     830";"     166";"     995";"     830";"     165";"   90135";"   80608";"    9527";"   90163";"   81170";"    8993";"  180298";"  177952";"  162599";"   15353";"    2346";"    2346";"    2346";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 July";"    2792";"    1834";"     886";"     705";"     181";"     895";"     705";"     190";"   70204";"   61577";"    8627";"   85760";"   71136";"   14624";"  155964";"  152700";"  132953";"   19747";"    3264";"    3239";"    2921";"     318";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"      25";"      25";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 August";"    2678";"    2126";"     840";"     674";"     166";"     848";"     675";"     173";"   88826";"   73304";"   15522";"   75021";"   63900";"   11121";"  163847";"  159100";"  136222";"   22878";"    4747";"    4747";"    4186";"     561";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 September";"    2880";"    1812";"     977";"     799";"     178";"     973";"     800";"     173";"   90050";"   81069";"    8981";"   88467";"   79618";"    8849";"  178517";"  175359";"  159628";"   15731";"    3158";"    3158";"    2888";"     270";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 October";"    2607";"    1978";"     861";"     738";"     123";"     877";"     736";"     141";"   80438";"   72958";"    7480";"   72540";"   66577";"    5963";"  152978";"  150170";"  135717";"   14453";"    2808";"    2808";"    2703";"     105";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 November";"    1845";"    1528";"     611";"     537";"      74";"     612";"     522";"      90";"   45535";"   44135";"    1400";"   39656";"   38235";"    1421";"   85191";"   85191";"   80280";"    4911";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2015 December";"    1839";"    1749";"     569";"     502";"      67";"     558";"     506";"      52";"   39679";"   38290";"    1389";"   44091";"   42750";"    1341";"   83770";"   83466";"   77975";"    5491";"     304";"     304";"       0";"     304";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 January";"    1670";"    1346";"     576";"     539";"      37";"     588";"     535";"      53";"   45699";"   44517";"    1182";"   42820";"   41568";"    1252";"   88519";"   87969";"   80711";"    7258";"     550";"     550";"       0";"     550";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 February";"    2072";"    1586";"     698";"     629";"      69";"     701";"     628";"      73";"   52229";"   50518";"    1711";"   54743";"   53176";"    1567";"  106972";"  106516";"   99714";"    6802";"     456";"     456";"       0";"     456";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 March";"    2478";"    1930";"     804";"     717";"      87";"     803";"     719";"      84";"   64426";"   62774";"    1652";"   63565";"   61822";"    1743";"  127991";"  127670";"  119517";"    8153";"     321";"     321";"     246";"      75";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 April";"    2575";"    2424";"     822";"     745";"      77";"     824";"     747";"      77";"   63706";"   62998";"     708";"   74345";"   72827";"    1518";"  138051";"  135060";"  126652";"    8408";"    2991";"    2991";"    2800";"     191";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 May";"    2891";"    2300";"     949";"     858";"      91";"     960";"     853";"     107";"   93465";"   90039";"    3426";"   90953";"   87301";"    3652";"  184418";"  181699";"  169045";"   12654";"    2719";"    2719";"    2719";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 June";"    2836";"    2106";"     927";"     820";"     107";"     940";"     819";"     121";"   87930";"   84450";"    3480";"   88778";"   85536";"    3242";"  176708";"  174172";"  165674";"    8498";"    2536";"    2536";"    2536";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 July";"    2785";"    2258";"     882";"     758";"     124";"     883";"     776";"     107";"   74515";"   72505";"    2010";"   87978";"   85014";"    2964";"  162493";"  159890";"  144552";"   15338";"    2603";"    2603";"    2603";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 August";"    2722";"    2319";"     859";"     766";"      93";"     864";"     764";"     100";"   85739";"   81826";"    3913";"   75659";"   72953";"    2706";"  161398";"  158747";"  141981";"   16766";"    2651";"    2651";"    2651";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 September";"    2899";"    2240";"     928";"     831";"      97";"     944";"     828";"     116";"   85312";"   83393";"    1919";"   83672";"   81598";"    2074";"  168984";"  166351";"  157894";"    8457";"    2633";"    2633";"    2633";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 October";"    2596";"    1902";"     857";"     774";"      83";"     861";"     769";"      92";"   74663";"   73302";"    1361";"   68152";"   67398";"     754";"  142815";"  140076";"  132747";"    7329";"    2739";"    2739";"    2739";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 November";"    1888";"    1656";"     607";"     549";"      58";"     606";"     551";"      55";"   48098";"   47644";"     454";"   45758";"   45086";"     672";"   93856";"   93806";"   93515";"     291";"      50";"      50";"      50";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2016 December";"    1745";"    1305";"     583";"     524";"      59";"     589";"     532";"      57";"   42944";"   42375";"     569";"   48844";"   48328";"     516";"   91788";"   91738";"   90712";"    1026";"      50";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"      50";"      50";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2017 January";"    1844";"    1396";"     586";"     529";"      57";"     593";"     529";"      64";"   50465";"   50004";"     461";"   49338";"   48893";"     445";"   99803";"   99803";"   98685";"    1118";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2017 February";"    1797";"    1282";"     587";"     519";"      68";"     580";"     519";"      61";"   47975";"   47527";"     448";"   52128";"   51836";"     292";"  100103";"  100034";"   98314";"    1720";"      69";"      68";"       0";"      68";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       1";"       1";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2017 March";"    2217";"    2320";"     655";"     580";"      75";"     672";"     582";"      90";"   62047";"   61401";"     646";"   59381";"   58636";"     745";"  121428";"  121329";"  118857";"    2472";"      99";"      99";"       0";"      99";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2017 April";"    2386";"    2394";"     723";"     644";"      79";"     711";"     644";"      67";"   72466";"   71321";"    1145";"   81404";"   80043";"    1361";"  153870";"  148860";"  147841";"    1019";"    5010";"    5010";"    4382";"     628";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2017 May";"    2765";"    2424";"     856";"     699";"     157";"     862";"     697";"     165";"   95023";"   90849";"    4174";"   95697";"   90883";"    4814";"  190720";"  185839";"  183923";"    1916";"    4881";"    4881";"    4336";"     545";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2017 June";"    2713";"    2496";"     792";"     664";"     128";"     805";"     666";"     139";"   92354";"   89193";"    3161";"   94137";"   90674";"    3463";"  186491";"  183160";"  181265";"    1895";"    3331";"    3331";"    2809";"     522";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2017 July";"    2526";"    2286";"     781";"     640";"     141";"     794";"     644";"     150";"   89801";"   85108";"    4693";"  103410";"   96569";"    6841";"  193211";"  186801";"  183153";"    3648";"    6410";"    6410";"    5151";"    1259";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2017 August";"    2520";"    2412";"     779";"     647";"     132";"     785";"     647";"     138";"  102032";"   95156";"    6876";"   93269";"   87720";"    5549";"  195301";"  187308";"  182684";"    4624";"    7993";"    7993";"    6902";"    1091";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2017 September";"    2366";"    2256";"     765";"     655";"     110";"     771";"     656";"     115";"   95455";"   91282";"    4173";"   93392";"   89890";"    3502";"  188847";"  184290";"  182183";"    2107";"    4557";"    4557";"    4557";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2017 October";"    2280";"    1942";"     731";"     620";"     111";"     742";"     619";"     123";"   82035";"   80642";"    1393";"   75957";"   74648";"    1309";"  157992";"  154210";"  152400";"    1810";"    3782";"    3782";"    3782";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"Rotterdam The Hague Airport";"2017 November";"    1489";"    1566";"     421";"     325";"      96";"     427";"     328";"      99";"   37052";"   33978";"    3074";"   33889";"   31615";"    2274";"   70941";"   67360";"   67175";"     185";"    3581";"    3215";"    3215";"       0";"       0";"       0";"       0";"     310";"       0";"     310";"       0";"      56";"      56";"       0";"       0";"       0";"       0";"       0"
